val_Total_Loss,val_Energy_MAE,val_Force_MAE,val_Stress_MAE,val_Site_Wise_MAE,val_Energy_RMSE,val_Force_RMSE,val_Stress_RMSE,val_Site_Wise_RMSE,epoch,step,train_Total_Loss,train_Energy_MAE,train_Force_MAE,train_Stress_MAE,train_Site_Wise_MAE,train_Energy_RMSE,train_Force_RMSE,train_Stress_RMSE,train_Site_Wise_RMSE
0.4393180012702942,0.0050349426455795765,0.4342830777168274,0.0,0.0,0.0050493208691477776,0.6388490796089172,0.0,0.0,0,12,,,,,,,,,
,,,,,,,,,0,12,0.429294228553772,0.007244872860610485,0.4220493733882904,0.0,0.0,0.008578688837587833,0.6266043782234192,0.0,0.0
0.4377370774745941,0.0034841918386518955,0.43425288796424866,0.0,0.0,0.0035066218115389347,0.6388325691223145,0.0,0.0,1,25,,,,,,,,,
,,,,,,,,,1,25,0.42742103338241577,0.005418853834271431,0.4220021963119507,0.0,0.0,0.008149556815624237,0.6273119449615479,0.0,0.0
0.43760132789611816,0.0033815002534538507,0.4342198073863983,0.0,0.0,0.003405296243727207,0.6388146877288818,0.0,0.0,2,38,,,,,,,,,
,,,,,,,,,2,38,0.42702412605285645,0.00504379253834486,0.4219803214073181,0.0,0.0,0.007394345942884684,0.6271699666976929,0.0,0.0
0.4375899136066437,0.0034263611305505037,0.43416354060173035,0.0,0.0,0.003447514958679676,0.6387847661972046,0.0,0.0,3,51,,,,,,,,,
,,,,,,,,,3,51,0.42698147892951965,0.005036620888859034,0.42194485664367676,0.0,0.0,0.007618350442498922,0.6272827386856079,0.0,0.0
0.4375281035900116,0.0034518432803452015,0.4340762794017792,0.0,0.0,0.0034760565031319857,0.6387392282485962,0.0,0.0,4,64,,,,,,,,,
,,,,,,,,,4,64,0.42707473039627075,0.0051884460262954235,0.42188629508018494,0.0,0.0,0.007725074887275696,0.6272527575492859,0.0,0.0
0.4374476373195648,0.0035069275181740522,0.43394070863723755,0.0,0.0,0.0035299917217344046,0.6386709809303284,0.0,0.0,5,77,,,,,,,,,
,,,,,,,,,5,77,0.4269188940525055,0.005118255503475666,0.4218007028102875,0.0,0.0,0.007673569489270449,0.6269189715385437,0.0,0.0
0.437389075756073,0.0037515258882194757,0.4336375296115875,0.0,0.0,0.003778776153922081,0.6385267376899719,0.0,0.0,6,90,,,,,,,,,
,,,,,,,,,6,90,0.42675548791885376,0.00510406494140625,0.4216514229774475,0.0,0.0,0.0077499873004853725,0.627206563949585,0.0,0.0
0.4363590180873871,0.003283844096586108,0.4330751895904541,0.0,0.0,0.003350453916937113,0.6382687091827393,0.0,0.0,7,103,,,,,,,,,
,,,,,,,,,7,103,0.42632856965065,0.0050033568404614925,0.4213252365589142,0.0,0.0,0.007301173638552427,0.6267714500427246,0.0,0.0
0.436239629983902,0.003380432026460767,0.4328591823577881,0.0,0.0,0.003441407112404704,0.6381407380104065,0.0,0.0,8,116,,,,,,,,,
,,,,,,,,,8,116,0.4264746606349945,0.005542755126953125,0.4209319055080414,0.0,0.0,0.007581730373203754,0.6267573833465576,0.0,0.0
0.4356094300746918,0.003204955952242017,0.432404488325119,0.0,0.0,0.0032826296519488096,0.6379029750823975,0.0,0.0,9,129,,,,,,,,,
,,,,,,,,,9,129,0.4254642426967621,0.004778747446835041,0.4206854999065399,0.0,0.0,0.0069276983849704266,0.6263670921325684,0.0,0.0
0.435394823551178,0.0033361816313117743,0.4320586323738098,0.0,0.0,0.003415784565731883,0.6377103924751282,0.0,0.0,10,142,,,,,,,,,
,,,,,,,,,10,142,0.4254692494869232,0.005186157301068306,0.42028307914733887,0.0,0.0,0.006808404345065355,0.625998318195343,0.0,0.0
0.4345671534538269,0.003124847309663892,0.4314422905445099,0.0,0.0,0.003225870430469513,0.6373685598373413,0.0,0.0,11,155,,,,,,,,,
,,,,,,,,,11,155,0.4245479702949524,0.004685668740421534,0.419862300157547,0.0,0.0,0.006291351281106472,0.6259442567825317,0.0,0.0
0.43361952900886536,0.003687896765768528,0.429931640625,0.0,0.0,0.003833622671663761,0.6365565657615662,0.0,0.0,12,168,,,,,,,,,
,,,,,,,,,12,168,0.4235280156135559,0.004347686655819416,0.41918033361434937,0.0,0.0,0.005733771249651909,0.6256635189056396,0.0,0.0
0.42994433641433716,0.0033895873930305243,0.42655470967292786,0.0,0.0,0.0036041620187461376,0.6349954009056091,0.0,0.0,13,181,,,,,,,,,
,,,,,,,,,13,181,0.4218846559524536,0.0051094056107103825,0.41677525639533997,0.0,0.0,0.006405141204595566,0.6244655847549438,0.0,0.0
0.4285801947116852,0.0035841369535773993,0.4249960780143738,0.0,0.0,0.0037915792781859636,0.6341319680213928,0.0,0.0,14,194,,,,,,,,,
,,,,,,,,,14,194,0.4184788763523102,0.0043214415200054646,0.4141574501991272,0.0,0.0,0.005358442664146423,0.6229996681213379,0.0,0.0
0.42654529213905334,0.0030209349934011698,0.4235243499279022,0.0,0.0,0.003273979527875781,0.6326767206192017,0.0,0.0,15,207,,,,,,,,,
,,,,,,,,,15,207,0.417454332113266,0.00466156005859375,0.41279277205467224,0.0,0.0,0.005796645302325487,0.6221662759780884,0.0,0.0
0.41617321968078613,0.0033528136555105448,0.41282039880752563,0.0,0.0,0.0036170659586787224,0.6164946556091309,0.0,0.0,16,220,,,,,,,,,
,,,,,,,,,16,220,0.41427117586135864,0.004944152664393187,0.4093270003795624,0.0,0.0,0.005916660651564598,0.6174402832984924,0.0,0.0
0.3698822259902954,0.012825164943933487,0.35705703496932983,0.0,0.0,0.012913861311972141,0.5307386517524719,0.0,0.0,17,233,,,,,,,,,
,,,,,,,,,17,233,0.4047432839870453,0.012544861063361168,0.3921984136104584,0.0,0.0,0.01315526943653822,0.5888121128082275,0.0,0.0
0.3780788779258728,0.013760528527200222,0.3643183410167694,0.0,0.0,0.013861981220543385,0.544236958026886,0.0,0.0,18,246,,,,,,,,,
,,,,,,,,,18,246,0.37612220644950867,0.015527954325079918,0.3605943024158478,0.0,0.0,0.015997739508748055,0.5412999987602234,0.0,0.0
0.3235233426094055,0.0024417114909738302,0.32108157873153687,0.0,0.0,0.002750248648226261,0.48054981231689453,0.0,0.0,19,259,,,,,,,,,
,,,,,,,,,19,259,0.34740981459617615,0.011951293796300888,0.33545851707458496,0.0,0.0,0.012437942437827587,0.502917468547821,0.0,0.0
0.3737558424472809,0.04911850020289421,0.3246372640132904,0.0,0.0,0.04915433004498482,0.48938658833503723,0.0,0.0,20,272,,,,,,,,,
,,,,,,,,,20,272,0.3251829147338867,0.010567626915872097,0.31461527943611145,0.0,0.0,0.011041214689612389,0.47621673345565796,0.0,0.0
0.3204531967639923,0.003750457661226392,0.3167026937007904,0.0,0.0,0.004047434777021408,0.4765903055667877,0.0,0.0,21,285,,,,,,,,,
,,,,,,,,,21,285,0.3261401355266571,0.014972534030675888,0.3111676275730133,0.0,0.0,0.015357725322246552,0.4701930284500122,0.0,0.0
0.30735912919044495,0.007402649149298668,0.29995647072792053,0.0,0.0,0.00759455282241106,0.450467973947525,0.0,0.0,22,298,,,,,,,,,
,,,,,,,,,22,298,0.3018282353878021,0.0033380126114934683,0.2984902262687683,0.0,0.0,0.0038412646390497684,0.45294779539108276,0.0,0.0
0.29774993658065796,0.004414825234562159,0.29333510994911194,0.0,0.0,0.004723215475678444,0.4417661726474762,0.0,0.0,23,311,,,,,,,,,
,,,,,,,,,23,311,0.29392844438552856,0.004684143234044313,0.28924429416656494,0.0,0.0,0.005120468325912952,0.43713539838790894,0.0,0.0
0.29170113801956177,0.003146514995023608,0.2885546088218689,0.0,0.0,0.0035047002602368593,0.4305241107940674,0.0,0.0,24,324,,,,,,,,,
,,,,,,,,,24,324,0.28836965560913086,0.0045075989328324795,0.28386205434799194,0.0,0.0,0.004998263902962208,0.4282974302768707,0.0,0.0
0.29583844542503357,0.009287414140999317,0.28655102849006653,0.0,0.0,0.009421112015843391,0.42383646965026855,0.0,0.0,25,337,,,,,,,,,
,,,,,,,,,25,337,0.28511321544647217,0.006091766525059938,0.27902141213417053,0.0,0.0,0.006505550350993872,0.41867882013320923,0.0,0.0
0.29110169410705566,0.005032501183450222,0.28606918454170227,0.0,0.0,0.005257536191493273,0.42305588722229004,0.0,0.0,26,350,,,,,,,,,
,,,,,,,,,26,350,0.28387001156806946,0.007507019210606813,0.27636295557022095,0.0,0.0,0.007858204655349255,0.41164451837539673,0.0,0.0
0.29025256633758545,0.013902587816119194,0.2763499319553375,0.0,0.0,0.013989895582199097,0.4089903235435486,0.0,0.0,27,363,,,,,,,,,
,,,,,,,,,27,363,0.2791638970375061,0.0056672669015824795,0.2734966278076172,0.0,0.0,0.006129169370979071,0.4064401388168335,0.0,0.0
0.28669002652168274,0.015691833570599556,0.27099817991256714,0.0,0.0,0.015783090144395828,0.39779675006866455,0.0,0.0,28,376,,,,,,,,,
,,,,,,,,,28,376,0.27844467759132385,0.010348968207836151,0.2680957019329071,0.0,0.0,0.010682924650609493,0.39665740728378296,0.0,0.0
0.2888296842575073,0.024732666090130806,0.2640970051288605,0.0,0.0,0.02478625252842903,0.38550007343292236,0.0,0.0,29,389,,,,,,,,,
,,,,,,,,,29,389,0.2680395841598511,0.006641387939453125,0.26139819622039795,0.0,0.0,0.0069640642032027245,0.38522690534591675,0.0,0.0
0.27119168639183044,0.0074354554526507854,0.26375624537467957,0.0,0.0,0.0075995842926204205,0.38519221544265747,0.0,0.0,30,402,,,,,,,,,
,,,,,,,,,30,402,0.2657414674758911,0.008762512356042862,0.25697895884513855,0.0,0.0,0.009171297773718834,0.37666916847229004,0.0,0.0
0.26877301931381226,0.006536712870001793,0.2622362971305847,0.0,0.0,0.00673906784504652,0.38152623176574707,0.0,0.0,31,415,,,,,,,,,
,,,,,,,,,31,415,0.2612340748310089,0.006200103554874659,0.255033940076828,0.0,0.0,0.00663767522200942,0.37392789125442505,0.0,0.0
0.2685074210166931,0.0019393920665606856,0.26656803488731384,0.0,0.0,0.002236696658656001,0.3839399814605713,0.0,0.0,32,428,,,,,,,,,
,,,,,,,,,32,428,0.26152941584587097,0.005729980301111937,0.25579944252967834,0.0,0.0,0.00616835942491889,0.37413060665130615,0.0,0.0
0.26712459325790405,0.009047546423971653,0.25807705521583557,0.0,0.0,0.009228220209479332,0.37515392899513245,0.0,0.0,33,441,,,,,,,,,
,,,,,,,,,33,441,0.25552085041999817,0.003201599232852459,0.25231924653053284,0.0,0.0,0.003619857830926776,0.3681038022041321,0.0,0.0
0.26758792996406555,0.010535888373851776,0.2570520341396332,0.0,0.0,0.010664348490536213,0.3728885352611542,0.0,0.0,34,454,,,,,,,,,
,,,,,,,,,34,454,0.2556286156177521,0.005628356710076332,0.2500002682209015,0.0,0.0,0.00603308854624629,0.36569544672966003,0.0,0.0
0.25798821449279785,0.0057005309499800205,0.25228768587112427,0.0,0.0,0.005978567525744438,0.3657272756099701,0.0,0.0,35,467,,,,,,,,,
,,,,,,,,,35,467,0.2550148069858551,0.006372680887579918,0.24864214658737183,0.0,0.0,0.006749814376235008,0.3640846908092499,0.0,0.0
0.26350104808807373,0.0039343261159956455,0.2595667243003845,0.0,0.0,0.004289405886083841,0.38118162751197815,0.0,0.0,36,480,,,,,,,,,
,,,,,,,,,36,480,0.25091275572776794,0.006428069900721312,0.24448467791080475,0.0,0.0,0.00682284589856863,0.3574783205986023,0.0,0.0
0.25679266452789307,0.003605957143008709,0.2531867027282715,0.0,0.0,0.003992570098489523,0.3668941557407379,0.0,0.0,37,493,,,,,,,,,
,,,,,,,,,37,493,0.25142571330070496,0.004644317552447319,0.2467813938856125,0.0,0.0,0.005115527659654617,0.3621724247932434,0.0,0.0
0.2611759305000305,0.011263427324593067,0.24991248548030853,0.0,0.0,0.011397626250982285,0.3627403676509857,0.0,0.0,38,506,,,,,,,,,
,,,,,,,,,38,506,0.25061842799186707,0.006706085056066513,0.24391235411167145,0.0,0.0,0.007133400999009609,0.35710278153419495,0.0,0.0
0.26842209696769714,0.011353760026395321,0.25706833600997925,0.0,0.0,0.011475825682282448,0.37504467368125916,0.0,0.0,39,519,,,,,,,,,
,,,,,,,,,39,519,0.25141751766204834,0.0067152404226362705,0.24470221996307373,0.0,0.0,0.007000778801739216,0.3588939905166626,0.0,0.0
0.2578760087490082,0.0019253540085628629,0.2559506595134735,0.0,0.0,0.0022238893434405327,0.36957427859306335,0.0,0.0,40,532,,,,,,,,,
,,,,,,,,,40,532,0.2527540922164917,0.0076918029226362705,0.24506229162216187,0.0,0.0,0.008040768094360828,0.35888081789016724,0.0,0.0
0.25506725907325745,0.008382110856473446,0.24668514728546143,0.0,0.0,0.008554156869649887,0.3572385907173157,0.0,0.0,41,545,,,,,,,,,
,,,,,,,,,41,545,0.24793407320976257,0.004800109658390284,0.24313396215438843,0.0,0.0,0.005190172698348761,0.35613030195236206,0.0,0.0
0.2560206651687622,0.005540618672966957,0.250480055809021,0.0,0.0,0.005811845883727074,0.3651062846183777,0.0,0.0,42,558,,,,,,,,,
,,,,,,,,,42,558,0.24450170993804932,0.003936920315027237,0.24056477844715118,0.0,0.0,0.004364022519439459,0.3520229756832123,0.0,0.0
0.26460081338882446,0.013902587816119194,0.2506982088088989,0.0,0.0,0.013999865390360355,0.364549458026886,0.0,0.0,43,571,,,,,,,,,
,,,,,,,,,43,571,0.2455117106437683,0.005819397047162056,0.2396923005580902,0.0,0.0,0.006193344481289387,0.3511747419834137,0.0,0.0
0.26673367619514465,0.0044943238608539104,0.26223933696746826,0.0,0.0,0.004774926230311394,0.3879922032356262,0.0,0.0,44,584,,,,,,,,,
,,,,,,,,,44,584,0.25430893898010254,0.007938690483570099,0.24637025594711304,0.0,0.0,0.008177313022315502,0.3614467680454254,0.0,0.0
0.25548407435417175,0.009129638783633709,0.24635444581508636,0.0,0.0,0.009274323470890522,0.3587968945503235,0.0,0.0,45,597,,,,,,,,,
,,,,,,,,,45,597,0.2520207166671753,0.006991271860897541,0.24502944946289062,0.0,0.0,0.007293908391147852,0.35944050550460815,0.0,0.0
0.2547638714313507,0.004213256761431694,0.2505505681037903,0.0,0.0,0.004490728490054607,0.36321571469306946,0.0,0.0,46,610,,,,,,,,,
,,,,,,,,,46,610,0.2473735213279724,0.006418151780962944,0.24095536768436432,0.0,0.0,0.006721769459545612,0.35303795337677,0.0,0.0
0.2611791491508484,0.009793396107852459,0.25138574838638306,0.0,0.0,0.009921682998538017,0.36570823192596436,0.0,0.0,47,623,,,,,,,,,
,,,,,,,,,47,623,0.2497507482767105,0.009391479194164276,0.24035926163196564,0.0,0.0,0.009672021493315697,0.3514574468135834,0.0,0.0
0.2683771252632141,0.01600448600947857,0.2523726224899292,0.0,0.0,0.016070619225502014,0.3681114912033081,0.0,0.0,48,636,,,,,,,,,
,,,,,,,,,48,636,0.25497373938560486,0.011340332217514515,0.24363340437412262,0.0,0.0,0.011623477563261986,0.35724076628685,0.0,0.0
0.2466031014919281,0.0031211853493005037,0.24348191916942596,0.0,0.0,0.0034356177784502506,0.35392826795578003,0.0,0.0,49,649,,,,,,,,,
,,,,,,,,,49,649,0.24972984194755554,0.0073934937827289104,0.24233634769916534,0.0,0.0,0.007700437214225531,0.3550429046154022,0.0,0.0
0.25274598598480225,0.008093109354376793,0.2446528673171997,0.0,0.0,0.00828605517745018,0.35482537746429443,0.0,0.0,50,662,,,,,,,,,
,,,,,,,,,50,662,0.24586495757102966,0.006247405894100666,0.23961755633354187,0.0,0.0,0.0066196508705616,0.35135382413864136,0.0,0.0
0.24722516536712646,0.0047105406410992146,0.24251462519168854,0.0,0.0,0.004989206325262785,0.3513221740722656,0.0,0.0,51,675,,,,,,,,,
,,,,,,,,,51,675,0.24299272894859314,0.0052496339194476604,0.2377430945634842,0.0,0.0,0.005672637838870287,0.34854763746261597,0.0,0.0
0.24574537575244904,0.0030590819660574198,0.24268628656864166,0.0,0.0,0.0033554970286786556,0.3528035283088684,0.0,0.0,52,688,,,,,,,,,
,,,,,,,,,52,688,0.23887993395328522,0.0033224488142877817,0.23555748164653778,0.0,0.0,0.003701226320117712,0.3451113998889923,0.0,0.0
0.24319367110729218,0.0028538512997329235,0.24033981561660767,0.0,0.0,0.0031467636581510305,0.34951308369636536,0.0,0.0,53,701,,,,,,,,,
,,,,,,,,,53,701,0.23745641112327576,0.0029962158296257257,0.23446020483970642,0.0,0.0,0.003408528631553054,0.3435744345188141,0.0,0.0
0.24427038431167603,0.004031982272863388,0.24023839831352234,0.0,0.0,0.004303130321204662,0.3495742678642273,0.0,0.0,54,714,,,,,,,,,
,,,,,,,,,54,714,0.23677149415016174,0.003025665180757642,0.23374582827091217,0.0,0.0,0.0033556923735886812,0.34253954887390137,0.0,0.0
0.2452745884656906,0.005176391452550888,0.24009819328784943,0.0,0.0,0.005420658737421036,0.3490513861179352,0.0,0.0,55,727,,,,,,,,,
,,,,,,,,,55,727,0.23900604248046875,0.00467605609446764,0.2343299686908722,0.0,0.0,0.00502241775393486,0.34353527426719666,0.0,0.0
0.24148663878440857,0.0017164611490443349,0.23977018892765045,0.0,0.0,0.0020116744562983513,0.3489202558994293,0.0,0.0,56,740,,,,,,,,,
,,,,,,,,,56,740,0.23628903925418854,0.0032569884788244963,0.23303204774856567,0.0,0.0,0.003629278624430299,0.3416203558444977,0.0,0.0
0.2555515468120575,0.012976531870663166,0.2425750195980072,0.0,0.0,0.013063795864582062,0.35176360607147217,0.0,0.0,57,753,,,,,,,,,
,,,,,,,,,57,753,0.23813758790493011,0.0052932738326489925,0.2328443080186844,0.0,0.0,0.0056131863966584206,0.34170955419540405,0.0,0.0
0.2611372470855713,0.02181045524775982,0.23932680487632751,0.0,0.0,0.02186509408056736,0.34798550605773926,0.0,0.0,58,766,,,,,,,,,
,,,,,,,,,58,766,0.24485306441783905,0.008084258995950222,0.23676879703998566,0.0,0.0,0.008366834372282028,0.34797030687332153,0.0,0.0
0.256998211145401,0.012857666239142418,0.24414053559303284,0.0,0.0,0.012952081859111786,0.3565690219402313,0.0,0.0,59,779,,,,,,,,,
,,,,,,,,,59,779,0.249199777841568,0.009922180324792862,0.23927758634090424,0.0,0.0,0.010132962837815285,0.35140982270240784,0.0,0.0
0.2662169933319092,0.009374694898724556,0.2568422853946686,0.0,0.0,0.00950816459953785,0.3807066082954407,0.0,0.0,60,792,,,,,,,,,
,,,,,,,,,60,792,0.24993449449539185,0.008692321367561817,0.2412421852350235,0.0,0.0,0.008941726759076118,0.3544864356517792,0.0,0.0
0.2577950358390808,0.01837066560983658,0.23942436277866364,0.0,0.0,0.018438786268234253,0.347535640001297,0.0,0.0,61,805,,,,,,,,,
,,,,,,,,,61,805,0.2448565661907196,0.0064883423037827015,0.2383682280778885,0.0,0.0,0.006801366340368986,0.35117384791374207,0.0,0.0
0.26446616649627686,0.014251861721277237,0.2502143383026123,0.0,0.0,0.01432089228183031,0.3650689721107483,0.0,0.0,62,818,,,,,,,,,
,,,,,,,,,62,818,0.2480202466249466,0.012504424899816513,0.23551581799983978,0.0,0.0,0.012720162980258465,0.34564128518104553,0.0,0.0
0.24458475410938263,0.0034996033646166325,0.24108512699604034,0.0,0.0,0.003823069855570793,0.3494827151298523,0.0,0.0,63,831,,,,,,,,,
,,,,,,,,,63,831,0.24234533309936523,0.004699554294347763,0.23764574527740479,0.0,0.0,0.005029750522226095,0.34828200936317444,0.0,0.0
0.24674516916275024,0.008232422173023224,0.23851273953914642,0.0,0.0,0.008388279005885124,0.3464725911617279,0.0,0.0,64,844,,,,,,,,,
,,,,,,,,,64,844,0.23705549538135529,0.0036901854909956455,0.23336531221866608,0.0,0.0,0.004045709036290646,0.34248313307762146,0.0,0.0
0.24635456502437592,0.0076356506906449795,0.2387189418077469,0.0,0.0,0.007779696024954319,0.34771978855133057,0.0,0.0,65,857,,,,,,,,,
,,,,,,,,,65,857,0.24075859785079956,0.006426696665585041,0.2343318909406662,0.0,0.0,0.006700972095131874,0.3441750705242157,0.0,0.0
0.23983745276927948,0.002333984477445483,0.23750346899032593,0.0,0.0,0.002663620747625828,0.34519922733306885,0.0,0.0,66,870,,,,,,,,,
,,,,,,,,,66,870,0.23495933413505554,0.0026220702566206455,0.23233726620674133,0.0,0.0,0.00298872496932745,0.34078970551490784,0.0,0.0
0.23952491581439972,0.0028698730748146772,0.23665504157543182,0.0,0.0,0.003159250132739544,0.34399276971817017,0.0,0.0,67,883,,,,,,,,,
,,,,,,,,,67,883,0.23360052704811096,0.002848968608304858,0.23075155913829803,0.0,0.0,0.0032328609377145767,0.33858031034469604,0.0,0.0
0.2424854338169098,0.0060876463539898396,0.23639778792858124,0.0,0.0,0.006290434394031763,0.34354984760284424,0.0,0.0,68,896,,,,,,,,,
,,,,,,,,,68,896,0.23698042333126068,0.0056578065268695354,0.23132261633872986,0.0,0.0,0.005991142243146896,0.3397287130355835,0.0,0.0
0.24862398207187653,0.009510193020105362,0.23911376297473907,0.0,0.0,0.009632065892219543,0.3471076190471649,0.0,0.0,69,909,,,,,,,,,
,,,,,,,,,69,909,0.2378622442483902,0.006044311448931694,0.23181797564029694,0.0,0.0,0.006349780131131411,0.34049609303474426,0.0,0.0
0.24249014258384705,0.0054116821847856045,0.237078458070755,0.0,0.0,0.005616128910332918,0.3451579809188843,0.0,0.0,70,922,,,,,,,,,
,,,,,,,,,70,922,0.23868119716644287,0.006806640420109034,0.23187455534934998,0.0,0.0,0.007126272190362215,0.3404795825481415,0.0,0.0
0.24452589452266693,0.0017971801571547985,0.24272871017456055,0.0,0.0,0.0020421852823346853,0.3544522523880005,0.0,0.0,71,935,,,,,,,,,
,,,,,,,,,71,935,0.24072383344173431,0.008618316613137722,0.23210550844669342,0.0,0.0,0.008903909474611282,0.34077659249305725,0.0,0.0
0.23844200372695923,0.0017483520787209272,0.23669365048408508,0.0,0.0,0.0020603069569915533,0.34438782930374146,0.0,0.0,72,948,,,,,,,,,
,,,,,,,,,72,948,0.23748750984668732,0.0036320495419204235,0.2338554561138153,0.0,0.0,0.003959922585636377,0.34321916103363037,0.0,0.0
0.24143262207508087,0.0049813841469585896,0.23645123839378357,0.0,0.0,0.005232698284089565,0.34359219670295715,0.0,0.0,73,961,,,,,,,,,
,,,,,,,,,73,961,0.23460903763771057,0.0040563964284956455,0.23055261373519897,0.0,0.0,0.004407798871397972,0.33848220109939575,0.0,0.0
0.25829529762268066,0.020102081820368767,0.23819322884082794,0.0,0.0,0.020157769322395325,0.34655240178108215,0.0,0.0,74,974,,,,,,,,,
,,,,,,,,,74,974,0.23596221208572388,0.005610656924545765,0.23035156726837158,0.0,0.0,0.005884250625967979,0.33817219734191895,0.0,0.0
0.25059568881988525,0.008181304670870304,0.24241439998149872,0.0,0.0,0.008303874172270298,0.3553043603897095,0.0,0.0,75,987,,,,,,,,,
,,,,,,,,,75,987,0.24177032709121704,0.008219909854233265,0.23355042934417725,0.0,0.0,0.008508932776749134,0.34220394492149353,0.0,0.0
0.2398497611284256,0.0018879700219258666,0.2379617840051651,0.0,0.0,0.0021380987018346786,0.34675848484039307,0.0,0.0,76,1000,,,,,,,,,
,,,,,,,,,76,1000,0.23669257760047913,0.0049012755043804646,0.23179130256175995,0.0,0.0,0.005206870846450329,0.34080246090888977,0.0,0.0
0.24607063829898834,0.010238800197839737,0.2358318269252777,0.0,0.0,0.010347477160394192,0.34341534972190857,0.0,0.0,77,1013,,,,,,,,,
,,,,,,,,,77,1013,0.2332899421453476,0.0036940001882612705,0.22959594428539276,0.0,0.0,0.004022723063826561,0.33743155002593994,0.0,0.0
0.23983921110630035,0.0023271178361028433,0.23751209676265717,0.0,0.0,0.002582673681899905,0.34647807478904724,0.0,0.0,78,1026,,,,,,,,,
,,,,,,,,,78,1026,0.23815679550170898,0.008448944427073002,0.22970785200595856,0.0,0.0,0.008701887913048267,0.3373970091342926,0.0,0.0
0.23821726441383362,0.0022149658761918545,0.23600229620933533,0.0,0.0,0.00245704036206007,0.3428393602371216,0.0,0.0,79,1039,,,,,,,,,
