val_Total_Loss,val_Energy_MAE,val_Force_MAE,val_Stress_MAE,val_Site_Wise_MAE,val_Energy_RMSE,val_Force_RMSE,val_Stress_RMSE,val_Site_Wise_RMSE,epoch,step,train_Total_Loss,train_Energy_MAE,train_Force_MAE,train_Stress_MAE,train_Site_Wise_MAE,train_Energy_RMSE,train_Force_RMSE,train_Stress_RMSE,train_Site_Wise_RMSE
0.8475275635719299,0.007399292197078466,0.8401281833648682,0.0,0.0,0.0074793570674955845,1.1299799680709839,0.0,0.0,0,24,,,,,,,,,
,,,,,,,,,0,24,0.8462116718292236,0.009616546332836151,0.8365951776504517,0.0,0.0,0.011072196066379547,1.127039909362793,0.0,0.0
0.8474981784820557,0.007464142050594091,0.840034008026123,0.0,0.0,0.007540607359260321,1.1298913955688477,0.0,0.0,1,49,,,,,,,,,
,,,,,,,,,1,49,0.8437017798423767,0.007232666015625,0.8364691138267517,0.0,0.0,0.00865259300917387,1.126956582069397,0.0,0.0
0.8471523523330688,0.007069854531437159,0.8400823473930359,0.0,0.0,0.00715314457193017,1.1299211978912354,0.0,0.0,2,74,,,,,,,,,
,,,,,,,,,2,74,0.8438963294029236,0.007448120042681694,0.8364481329917908,0.0,0.0,0.008788909763097763,1.1269265413284302,0.0,0.0
0.8468613624572754,0.007037353701889515,0.8398239016532898,0.0,0.0,0.007119748741388321,1.1296932697296143,0.0,0.0,3,99,,,,,,,,,
,,,,,,,,,3,99,0.843525767326355,0.0071328734047710896,0.8363928198814392,0.0,0.0,0.00854534562677145,1.1267470121383667,0.0,0.0
0.8452891707420349,0.007024994120001793,0.8382641673088074,0.0,0.0,0.007156162057071924,1.1283036470413208,0.0,0.0,4,124,,,,,,,,,
,,,,,,,,,4,124,0.8428826928138733,0.00729293841868639,0.8355896472930908,0.0,0.0,0.008713631890714169,1.12601900100708,0.0,0.0
0.7135465741157532,0.03224624693393707,0.6813002824783325,0.0,0.0,0.03320566192269325,0.9367542862892151,0.0,0.0,5,149,,,,,,,,,
,,,,,,,,,5,149,0.8246110677719116,0.011821136809885502,0.8127897381782532,0.0,0.0,0.01316099613904953,1.1016793251037598,0.0,0.0
0.5086483955383301,0.04383376985788345,0.46481454372406006,0.0,0.0,0.04399704933166504,0.6828851103782654,0.0,0.0,6,174,,,,,,,,,
,,,,,,,,,6,174,0.5755370259284973,0.03326354920864105,0.5422734618186951,0.0,0.0,0.03412454202771187,0.7708650827407837,0.0,0.0
0.44290775060653687,0.047406312078237534,0.39550143480300903,0.0,0.0,0.04770246520638466,0.5904144048690796,0.0,0.0,7,199,,,,,,,,,
,,,,,,,,,7,199,0.47382745146751404,0.02139480598270893,0.4524326026439667,0.0,0.0,0.022128641605377197,0.6455562710762024,0.0,0.0
0.3635302782058716,0.020267333835363388,0.3432629406452179,0.0,0.0,0.02095123752951622,0.4892389178276062,0.0,0.0,8,224,,,,,,,,,
,,,,,,,,,8,224,0.4028211832046509,0.031010285019874573,0.3718108832836151,0.0,0.0,0.0314907468855381,0.5412584543228149,0.0,0.0
0.31213483214378357,0.008591003715991974,0.3035437762737274,0.0,0.0,0.009689085185527802,0.4429623782634735,0.0,0.0,9,249,,,,,,,,,
,,,,,,,,,9,249,0.36408424377441406,0.026197051629424095,0.3378871977329254,0.0,0.0,0.026820430532097816,0.4871120750904083,0.0,0.0
0.30403709411621094,0.01886901818215847,0.2851680517196655,0.0,0.0,0.01948915421962738,0.41462063789367676,0.0,0.0,10,274,,,,,,,,,
,,,,,,,,,10,274,0.3116588294506073,0.011113891378045082,0.3005449175834656,0.0,0.0,0.011971287429332733,0.43748074769973755,0.0,0.0
0.38267412781715393,0.0073991394601762295,0.3752749562263489,0.0,0.0,0.008560966700315475,0.48639777302742004,0.0,0.0,11,299,,,,,,,,,
,,,,,,,,,11,299,0.3804260492324829,0.027687225490808487,0.3527388274669647,0.0,0.0,0.028236865997314453,0.48461082577705383,0.0,0.0
0.28972327709198,0.0062011717818677425,0.2835220992565155,0.0,0.0,0.007106580305844545,0.40516525506973267,0.0,0.0,12,324,,,,,,,,,
,,,,,,,,,12,324,0.31422629952430725,0.018413390964269638,0.2958129048347473,0.0,0.0,0.01909557171165943,0.42446058988571167,0.0,0.0
0.27309760451316833,0.012589721940457821,0.26050788164138794,0.0,0.0,0.013411564752459526,0.3803134858608246,0.0,0.0,13,349,,,,,,,,,
,,,,,,,,,13,349,0.2833402454853058,0.012333068996667862,0.27100715041160583,0.0,0.0,0.013208139687776566,0.39409783482551575,0.0,0.0
0.2654651999473572,0.008660736493766308,0.2568044066429138,0.0,0.0,0.009714792482554913,0.37377914786338806,0.0,0.0,14,374,,,,,,,,,
,,,,,,,,,14,374,0.27385422587394714,0.012163544073700905,0.2616907060146332,0.0,0.0,0.01307663694024086,0.38220393657684326,0.0,0.0
